School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Lars Ostermann,So.,,,,International,"Untersiggenthal, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Goalkeeper
American International,Northeast-10,Michael Tuba,So.,,,,USA,"Rye Brook, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,
American International,Northeast-10,Sebastyan Torres,So.,,,,USA,"Windsor Locks, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Midfielder
American International,Northeast-10,Aidan Loignon,So.,,,,USA,"Gray, ME",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Forward
American International,Northeast-10,Sean Shapiro,Fr.,,,,USA,"Mount Laurel, NJ",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Midfielder
American International,Northeast-10,Guillermo Jimenez,Fr.,,,,International,"Miami Playa, Spain",Spain,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Midfielder
American International,Northeast-10,Phillip Muller-Stromberg,Fr.,,,,International,"Bonn, Germany",Germany,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Elias Persson,Fr.,,,,International,"Linkoping, Sweden",Sweden,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Midfielder
American International,Northeast-10,Ramaul Morgan,Fr.,,,,USA,"Port Chester, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Forward
American International,Northeast-10,George Darbyshire,Fr.,,,,International,"Farnham Common, England",United Kingdom,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Forward
American International,Northeast-10,Stefan Sandu,Fr.,,,,International,"Vatra Dornei, Romania",Romania,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Jack McKinnon,Fr.,,,,International,"Brentwood, England",United Kingdom,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Andrew Ranieri,Fr.,,,,USA,"Danbury, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Cole Rodriguez,Fr.,,,,USA,"Windsor Locks, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Defender
American International,Northeast-10,David Dennis,Fr.,,,,USA,"Troy, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Forward
American International,Northeast-10,Nasir Hibbert,Fr.,,,,USA,"Bridgewater, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Asadbek Bokjinov,Fr.,,,,International,"London, England",United Kingdom,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Peter Miro,Fr.,,,,USA,"Marlborough, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Forward
American International,Northeast-10,Kyle Anderson,Jr.,,,,USA,"Manchester, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2027,Midfielder
American International,Northeast-10,Lucas Damon,Fr.,,,,USA,"Miller Place, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Defender
American International,Northeast-10,Diego Chavez,Fr.,,,,USA,"Meriden, CT",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Paul Sesay,Fr.,,,,USA,"Worcester, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,
American International,Northeast-10,Justus Wetzel,Gr.,,,,International,"Gleichen, Germany",Germany,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2025,Goalkeeper
American International,Northeast-10,Nicholas Kuehl,So.,,,,USA,"Ashburnham, MA",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2028,Goalkeeper
American International,Northeast-10,Ayden Grieve,Fr.,,,,USA,"Glens Falls, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Goalkeeper
American International,Northeast-10,Eris Granados,Fr.,,,,USA,"Bellport, NY",,,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 34%,2029,Goalkeeper
Anderson (SC),SAC,Franco Antoniolli,Jr.,,,,International,"Cordoba, Argentina",Argentina,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Goalkeeper
Anderson (SC),SAC,Jamie Round,So.,,,,USA,"Hartford, AE",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Defender
Anderson (SC),SAC,Caleb McDowall,Jr.,,,,International,"Warwick, Bermuda",Bermuda,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Midfielder
Anderson (SC),SAC,Mariano Carpena,Gr.,,,,International,"Cail, Colombia",Colombia,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Defender
Anderson (SC),SAC,Tiago Perez,Jr.,,,,International,"Pamplona, Spain",Spain,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Defender
Anderson (SC),SAC,William Thompson,So.,,,,International,"Getxo, Spain",Spain,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Defender
Anderson (SC),SAC,Pablo Sanz,Gr.,,,,International,"Madrid, Spain",Spain,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Midfielder
Anderson (SC),SAC,Wesley Ajavon,Gr.,,,,International,"Saint-Mard, Belgium",Belgium,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Midfielder
Anderson (SC),SAC,Eloy Allimadi,Gr.,,,,International,"Heidelberg, Germany",Germany,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Forward
Anderson (SC),SAC,Diego Jaramillo,Sr.,,,,International,"Cali, Colombia",Colombia,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2026,Forward
Anderson (SC),SAC,Lucas Goldberg,Jr.,,,,USA,"Awendaw, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Midfielder
Anderson (SC),SAC,James Deadwyler,Jr.,,,,USA,"Travelers Rest, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Midfielder
Anderson (SC),SAC,Thiago Ibarrola,So.,,,,USA,"Spartanburg, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Midfielder
Anderson (SC),SAC,Steven Udy,Gr.,,,,USA,"Clover, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Forward
Anderson (SC),SAC,Jace Hicks,So.,,,,USA,"Greenville, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Midfielder
Anderson (SC),SAC,Marc Vila,R-Jr.,,,,International,"Vilassar de Mar, Spain",Spain,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Defender
Anderson (SC),SAC,Pol Elias,So.,,,,International,"Barcelona, Spain",Spain,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Defender
Anderson (SC),SAC,Emmanuel Arkoh,Gr.,,,,International,"Manlleu, Barcelona, Spain",Spain,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Forward
Anderson (SC),SAC,Juan Jose Alvarez,Jr.,,,,International,"Santiago, Chile",Chile,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Forward
Anderson (SC),SAC,Ivan Cardona,So.,,,,International,"Cali, Colombia",Colombia,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Midfielder
Anderson (SC),SAC,Santiago Arce,Gr.,,,,International,"Tucuman, Argentina",Argentina,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Forward
Anderson (SC),SAC,Jordan Lester,Jr.,,,,USA,"Campbobello, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Forward
Anderson (SC),SAC,Alejandro Perez,Jr.,,,,USA,"Indian Trail, N.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Midfielder
Anderson (SC),SAC,Andres Giraldo,Fr.,,,,USA,"Greer, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2029,Defender
Anderson (SC),SAC,Luis Lezama,So.,,,,USA,"Liberty, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Midfielder
Anderson (SC),SAC,Johnathan Coleman,So.,,,,USA,"Mt. Pleasant, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Forward
Anderson (SC),SAC,Juan Pablo Lepervanche,Fr.,,,,International,"Caracas, Venezuela",Venezuela,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2029,Midfielder
Anderson (SC),SAC,Amos Uber,Sr.,,,,USA,"Myrtle Beach, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2026,Goalkeeper
Anderson (SC),SAC,Nick DeFazio,Sr.,,,,USA,"Daniel Island, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2026,Defender
Anderson (SC),SAC,Kaden Proa,So.,,,,USA,"Port Charlotte, Fla.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Defender
Anderson (SC),SAC,Joshua Small,Jr.,,,,International,"West Bay, Grand Cayman",Cayman Islands,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2027,Forward
Anderson (SC),SAC,Banks Garrett,Fr.,,,,USA,"Simpsonville, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2029,Goalkeeper
Anderson (SC),SAC,Kenny Shema,Gr.,,,,International,"Brussels, Belgium",Belgium,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Midfielder
Anderson (SC),SAC,Caiden Kopytin,Fr.,,,,USA,"Greenville, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2029,Forward
Anderson (SC),SAC,Marshall Gillie,Fr.,,,,USA,"Mount Pleasent, S.C.",,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2029,Defender
Anderson (SC),SAC,Lukas Bos,Gr.,,,,International,"Capelle Aan Den Ijssel, Netherlands",Netherlands,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2025,Forward
Anderson (SC),SAC,Julian Caro,So.,,,,International,"Medellin, Colombia",Colombia,,https://autrojans.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 62%,2028,Midfielder
Ashland,GLIAC,Zach Harrison,So.,,,,USA,"Columbus, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Goalkeeper
Ashland,GLIAC,Ty Bowden,Sr.,,,,USA,"Pickerington, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Goalkeeper
Ashland,GLIAC,Sirlem Thullah,Sr.,,,,International,"Makeni, Sierra Leone",Sierra Leone,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Defender
Ashland,GLIAC,Hugo Dunger,Fr.,,,,International,"Stockholm, Sweden",Sweden,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2029,Defender
Ashland,GLIAC,Magnus Jensen,Jr.,,,,International,"Odense, Denmark",Denmark,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Defender
Ashland,GLIAC,Roland Ntow,Jr.,,,,USA,"Columbus, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Midfielder
Ashland,GLIAC,Oliver Lovell,Sr.,,,,International,"Southampton, England",United Kingdom,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Midfielder
Ashland,GLIAC,Pedro Faria,Sr.,,,,International,"Sao Paulo, Brazil",Brazil,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Forward
Ashland,GLIAC,Andre Dutra,Sr.,,,,International,"Recife, Brazil",Brazil,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Midfielder
Ashland,GLIAC,Rodri Fernandez,Sr.,,,,International,"Zaragoza, Spain",Spain,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Forward
Ashland,GLIAC,Oliver Whaley,5th,,,,International,"East Bridgford, England",United Kingdom,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2025,Midfielder
Ashland,GLIAC,Riki Soto,Sr.,,,,International,"Barcelona, Spain",Spain,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Midfielder
Ashland,GLIAC,Abdul Kawa,Jr.,,,,USA,"Delaware, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2027,Defender
Ashland,GLIAC,Teddy Togliatti,Sr.,,,,USA,"Mansfield, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Midfielder
Ashland,GLIAC,Ethan Frye,So.,,,,USA,"Parma, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2028,Midfielder
Ashland,GLIAC,Alex James,Sr.,,,,USA,"Westerville, Ohio",,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Forward
Ashland,GLIAC,Evans Armah,Sr.,,,,International,"Accra, Ghana",Ghana,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2026,Midfielder
Ashland,GLIAC,Rodri Jimenez,Gr.,,,,International,"Madrid, Spain",Spain,,https://goashlandeagles.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 56%,2025,Midfielder
